,sampno,sio2,tio2,al2o3,fe2o3,mgo,cao,mno,k2o,p2o5,rock_type
223,2158997,55.81,0.82,15.9,7.25,6.53,5.23,0.174285,3.39,0.256,diorite
224,2158998,64.97,0.3,15.8,3.28,1.89,1.93,0.198814,6,0.245,granite
226,2158999,63.47,0.52,14.9,4.58,3.44,2.57,0.165248,4.54,0.235,diorite
227,2159000,56.4,0.79,15.1,8.03,6.66,4.7,0.236253,3.5,0.228,diorite
228,2159001,59.27,0.8,15.2,6.38,4.51,3.81,0.384718,3.19,0.226,diorite
229,2159002,54.47,0.73,16,8.62,4.4,4.21,0.772018,1.75,0.201,diorite
232,2159005,55.62,0.24,14.8,8.51,1.46,5.53,1.076694,4.19,0.185,diorite
233,2159006,56.55,0.86,15,7.84,5.86,4.69,0.582241,3.14,0.238,diorite
234,2159007,55.07,0.92,15.3,7.99,6.11,5.07,0.233671,3.61,0.241,diorite
235,2159008,54.52,0.9,14.8,8.95,5.85,5.41,0.435067,3.07,0.228,diorite
237,2138063,55.38,0.85,16.6,7.1,5.22,5.06,0.229798,2.86,0.318,diorite
238,2159009,55.08,0.8,15.8,8.3,5.61,4.57,0.243999,2.95,0.246,diorite
239,2159010,56.25,0.86,15.4,8.09,5.65,4.7,0.222052,3.19,0.249,diorite
240,2159011,54.7,0.94,16.4,7.55,5.65,5.33,0.209142,3.55,0.284,diorite
241,2159012,54.64,1,16.2,8.25,5.28,4.85,0.240126,3.64,0.279,diorite
242,2159013,54.23,0.97,16.7,7.77,5.35,5.57,0.178158,3.74,0.321,diorite
243,2159014,54.68,0.85,16.7,7.64,5.24,5.39,0.189777,3.36,0.289,diorite
244,2159015,53.33,0.88,16.9,7.54,5.35,6.52,0.169121,2.88,0.326,diorite
245,2159016,52.21,0.98,17.3,7.94,5.73,6.06,0.165248,3.89,0.374,diorite
246,2159017,52.11,0.93,17.2,8.1,5.86,6.87,0.14201,3.41,0.306,diorite
248,2138064,52.91,1.02,16.6,8.21,6.47,6.15,0.176867,2.85,0.266,diorite
249,2159018,55.87,0.95,15.8,7.19,5.56,5.58,0.156211,3.36,0.291,diorite
250,2159019,54.94,0.92,16.2,7.72,5.32,5.66,0.171703,3.61,0.328,diorite
251,2159020,55.11,0.93,16.1,7.65,5.3,5.89,0.194941,3.5,0.31,diorite
252,2159021,53.67,0.97,16.5,8.25,5.75,5.63,0.189777,3.81,0.315,diorite
253,2159022,54.92,0.94,16.1,7.87,5.45,5,0.424739,3.73,0.318,diorite
254,2159023,60.95,0.59,15.4,6.08,3.49,3.57,0.19365,4.44,0.279,diorite
255,2159024,53.87,1.05,16.5,7.91,5.9,5.74,0.191068,3.72,0.331,diorite
256,2159025,54.63,1.04,16.2,7.85,5.67,5.35,0.203978,3.7,0.303,diorite
